,std. real power(ss),ave. real power(ss),max. real power(tr),std. reactive power(ss),ave. reactive power(ss),max. reactive power(tr),std. phase B current(ss),ave. phase B current(ss),max. phase B current(tr)
0,0.12076951907199629,12.470725779244642,12.925006883495639,0.19582144621021835,6.301591188492562,6.500615230888535,0.07122109800027385,19.745680921348317,20.547899
1,0.07457393797073938,12.515376048600043,12.77164571504024,0.12526683723733245,6.147343211152834,6.311691941310316,0.07962908360916489,19.691052428571428,20.0446
2,0.017738110942609932,12.52058306578041,12.723697065048263,0.02282823028112914,6.212730355603926,6.245221010272263,0.025089993465323927,19.723236899999996,20.0082
3,0.026023682575757143,12.470682625527754,12.757138050643572,0.03142144351016386,6.1661925170481835,6.323981049510537,0.029770264162751484,19.676334,20.062799
4,0.11382600990497305,12.338566834524375,12.639110280011673,0.20310764523043853,6.256596090202636,6.598077843279672,0.042280389350000586,19.69193888888889,19.856199
6,0.12611392493586124,13.778714196122605,14.117502367235932,0.19791489214223204,7.1932708202045115,7.490331355011773,0.07494681480027465,22.068671024390248,22.344101
7,0.12733122794347332,13.774734973892011,13.87582515876903,0.18926024130942173,7.093655973320995,7.416924846084525,0.18911185041623385,22.029103029411765,22.266899
8,0.04698797874959323,13.633548732963185,13.834475752005751,0.11296714031927012,7.214785070996159,7.244496996677957,0.07458348321665079,22.07515509708738,22.1308
9,0.01588897365958968,12.339780537059175,12.38255243498451,0.011835351397166011,6.128582061011337,6.2111235449757505,0.01848344987386457,19.628182181818183,19.733999
10,0.5245258188634012,13.469104272591984,15.655569422561802,0.19050481162475336,5.391804793027492,6.1918506647703175,0.7807865967318547,20.488394007462688,23.761
11,0.47158116097205893,13.72295854689919,16.957924896401025,0.1352724585504616,5.538618890383836,6.343335437945235,0.7201049119057323,20.88132024444445,25.690901
12,0.021697804390016506,12.672287426150548,12.776640078333031,0.026798741554071717,5.728743512505692,5.850608947510981,0.05674908757855191,19.96634033870967,20.1127
15,0.04069716904961713,10.774349512194151,11.095254749341633,0.11356771840714214,5.611980930915256,5.883437238103484,0.055420815145728275,17.278285698412695,17.9403
16,0.06088959911620474,13.959423389591972,14.22824350418836,0.198436971498537,7.243932861107699,6.94868959949895,0.12017963960201226,22.419687,22.4356
18,0.04434789810548262,2.4257927982300993,2.301775329365192,0.023109063950130366,6.506985551435416,6.671119583570506,0.044892457985724075,9.804376,9.8612
20,0.11480859282133336,13.096984205514987,13.202876463791528,0.2002985250323477,6.718216745514733,7.09120024035676,0.07327423880739968,21.23472075862069,21.454399
21,0.08386378473811418,13.043722956696351,13.208348893410875,0.2683693460046205,6.837896111631409,7.094607146018234,0.07244634360005824,21.18091216666667,21.3508
22,0.03751639500067263,13.057695428846307,13.18117525106419,0.04092501965938055,7.192902879196287,7.22080378947395,0.05558852796314517,21.153787375,21.435699
23,0.04001060322688175,13.042592841239651,13.147352601543709,0.04355599360779945,7.210310260610982,7.240027742272324,0.05776772030600821,21.17211374418605,21.324499
25,0.10303103996764021,14.045544308746067,14.234325611017665,0.21553896824269872,5.9774427836735,6.329601314746169,0.06414475962937087,21.82709208333333,22.1087
26,0.09904022924898864,13.637033420928582,13.83585901829534,0.15202946344188112,7.2975168809086615,7.328724634652843,0.08487964717367645,22.143511041666667,22.415501
27,0.024651951824378304,13.78931804248395,14.001096588863854,0.0422870499394396,6.073427515502223,6.272516140283089,0.05216591714329396,21.668034357142858,22.033899
28,0.021788344533423962,12.808781155567582,12.81797826877545,0.025739277726395032,6.998664620009839,7.061787707819567,0.10733307185409409,21.137117137931035,21.3403
29,0.16020661895569782,13.818054434093204,13.773491088344716,0.25169440304989826,7.1638425572727025,7.3710833232014075,0.10030784555099169,22.218096556521743,22.4011
30,0.019255238664257338,13.882471549597133,13.99335028058678,0.01622500435032463,6.728116645404658,6.778830125876545,0.046197767522494895,22.22264375,22.424101
31,0.13091646979900007,13.996609085744167,13.740823982452454,0.1885646031035089,6.881401990109443,7.265851062087671,0.09236625013284193,22.305397014705886,22.4529
32,0.018019686351443902,14.12257487291496,14.197678749205778,0.017374148225053513,6.7527360752907635,7.041866455032554,0.05349613356096142,22.34826716666667,22.4007
34,0.09147862185924138,8.291966400591928,8.301434373306963,0.11794419333545085,5.106899547732939,5.1695696570348115,0.12520047112031973,14.0657625,14.1907
35,0.040371415493578165,8.570559884104611,9.42090098771626,0.0745860497575303,5.05674251124473,5.169793549290035,0.083391802795224,14.25888125,15.5387
37,0.10905527281121447,19.428233232120533,20.220809336987145,0.08224635220502491,6.914917454983635,7.714937289064639,0.2346461738429349,28.903739933333327,30.483999
38,0.09026903208357163,19.298842481808393,19.74507121910436,0.06974662175368479,7.034767888883527,7.315730397025624,0.13877152401164874,28.792380628205137,29.6091
39,0.06205966877440213,12.275700487241556,12.296051820243152,0.1028744171613009,6.27208679816679,6.284521917277213,0.07136070396204967,19.608281373626372,19.749399
40,0.045491357182173724,12.227311160795491,12.560815827249307,0.06745567790341955,6.236777133679458,6.374508621251102,0.07923263878380592,19.57729727777778,19.9842
42,0.08795010936907317,12.4919397565903,12.337079484593865,0.12369940296387187,5.827637155241631,6.1513756180977,0.09303897908459878,19.572242118421048,19.6535
43,0.08899645676877488,18.83965799281954,19.12143767585487,0.033681217930001124,7.613277507333622,7.78361670254376,0.1954767794997902,28.39110007692308,28.9932
44,0.08772851646223043,13.971138647322949,14.039670886027297,0.1015026231177222,7.398737178558645,7.384433050630388,0.12164279643116327,22.33571454545454,22.542999
46,0.05865178307753869,13.768919388802173,13.713681128500344,0.06325212322625863,7.493686197322626,7.705764998405669,0.08044413608942812,22.22819584,22.4237
47,0.03519188897723847,10.62353253192819,10.986933521466684,0.04721052473006077,5.665824508494931,5.867731113271923,0.06403176736934835,17.235434379310345,17.836201
48,0.10905097362082176,11.653069907284136,12.086866164999941,0.18081329498427903,6.23289636445794,6.701620509241196,0.06532065855405417,18.697559494382023,19.5077
49,0.13127625096733528,12.366258375806833,12.488697425926894,0.26897763808582215,6.36725136676434,6.493299931087625,0.07040346247599352,19.60194434626039,19.890301
50,0.06170199423216722,17.82250632349407,18.911009122672144,0.18970518231259956,7.030296497843155,7.967733362716942,0.17835082209283792,26.50854742105263,28.6299
51,0.12135379550842904,18.284141696987497,18.666997559355003,0.17740359778528772,7.551454170983237,7.626941313851086,0.1464266894736092,27.883579601941744,28.204201
52,0.04845768841489963,13.617972815383585,13.681904787995396,0.02851681769467352,7.733332601241569,7.817526768813407,0.0993568795214363,22.140290387096776,22.223301
54,0.09725107099313583,10.640899863987107,11.10568158947316,0.17617144525539455,5.682436831563548,5.979060488513556,0.09348327692859355,17.07977878082192,17.594101
56,0.02947451210407747,13.39230099356129,13.52621585495862,0.04250138101417785,7.070661453764702,7.444014445819388,0.06971183184457654,21.287855388888886,21.427999
59,0.050054911753486336,14.006486211600478,14.128097970578644,0.08268250256524255,6.838596188888798,6.970102307853582,0.05307585578166104,22.147165789473682,22.2631
60,0.11689318395658076,13.836525330170522,13.820746416498686,0.12042743178431722,7.176188625909769,7.267505820083642,0.03438886482907289,22.09389619230769,22.216101
61,0.1668482742978887,9.57163198325627,9.867529249811732,0.14714499310336077,5.0564901324473706,5.312052618808887,0.10509376976865169,15.550474698795181,15.9385
62,0.1461687320344996,10.353029473279868,10.71710107931666,0.1777831644116739,5.282861255849393,5.762495637719752,0.031738888699425254,16.590617453333337,17.2414
63,0.040039037607008214,10.325690376669629,10.548272249514293,0.030768253718343554,5.058187559168297,5.378364375063696,0.046970704360718166,16.556610552631575,17.0142
65,0.026824048882278326,13.075425797502152,13.087589330612714,0.05796214796601995,7.023145302492868,7.227631452399661,0.03941322473282176,21.187302209302324,21.314899
66,0.08224253460603878,14.727031855913864,14.70840056436744,0.11538728460508373,6.584197013075513,6.850592293573128,0.15618636592095653,22.92345290566038,23.1614
67,0.05401611368308185,14.462272871615712,14.66822416454237,0.061685533997864556,6.67231500569765,6.568345969284861,0.03869532323108825,22.558408040000003,22.6609
68,0.028553093340140445,14.584763421883533,14.849032522348264,0.026517084925175467,6.610878634300032,6.709145349236034,0.045779884068742685,22.756350049999998,22.898701
69,0.043648831201222385,14.532780541556503,14.741195685812533,0.05276756460986238,6.620458271705506,6.733436300950503,0.05085809611912373,22.795171371428573,23.070299
70,0.032246032991694526,14.717818150036544,14.724263006868993,0.07190627939946634,6.335941881974336,6.3841038080959045,0.040865960671040466,22.44329203409091,22.500799
72,0.046198254176645706,13.812105386564424,13.901511334779379,0.024696028615982774,7.069716800568244,7.143753034306739,0.034736545109494615,22.143461048780487,22.2209
73,0.01692510900838985,13.603718777770943,13.723001500398775,0.011873207194159968,6.850228029238442,6.885873061452158,0.03295293041480602,21.875745999999996,22.1078
74,0.027822193766065133,12.74239605103627,12.956219215219877,0.05145437783291606,6.981335446254836,7.191659058447218,0.07311017819979072,20.937449169811316,21.23
75,0.1259363786999347,12.324102858634053,12.404635436691013,0.2172122030525914,6.329091546596172,6.570793881134513,0.06554319959786267,19.322015294117648,19.840401
77,0.06412056323086233,15.142678618776205,15.397795804908005,0.07603107587016623,7.449755611048785,7.445466580119165,0.06716240843505504,24.23863475510204,24.5639
79,0.1058490282285534,10.322242283817202,10.63563127903879,0.16230447803200734,5.540460701898977,5.768339087120753,0.031054041027207553,16.856794745614035,17.393801
80,0.08909183040086678,10.365525034729467,10.750089338777759,0.15723161567928667,5.451038841968814,5.988437525353613,0.14509060733755372,16.620022111111112,17.5347
81,0.11278875666629833,12.222529904733051,12.328755906834264,0.22527205582016901,6.15341807773986,6.264321091433604,0.05999959842293029,19.399621643216083,19.9032
82,0.08148799891107483,15.182282112981513,15.266318834542123,0.22192137961356145,7.286948269917501,7.3600273336518285,0.0741958871262171,24.11419109090909,24.291201
83,0.08498523980972422,15.013411979163433,15.381111423019522,0.08357746746939863,7.647355913703483,7.356427049686338,0.04555420078912313,24.0970785,24.3262
85,0.10918862474036027,12.886342472517793,13.269038192900561,0.20280876398942704,5.658352224518516,5.896622398079651,0.15922752050177408,19.701491857142855,20.2267
87,0.10424349648503241,15.267575090007677,15.358999500654038,0.14469644977631693,7.226133346160805,7.412016087499559,0.06473427652154014,23.94368364179104,24.2346
89,0.09766468998499857,10.445956645696125,10.623422584877199,0.16977530937834215,5.447473562272616,5.673808068734393,0.02907036004258325,16.820497711111113,17.020901
90,0.08316411432438654,14.943757509623596,15.175023884962664,0.10953688250372887,7.629395913571516,7.616821826324342,0.07129768611783986,24.044641260869565,24.238001
91,0.06827500258834879,17.5707282587315,17.94556798653981,0.12599290649038494,6.885781058036321,7.004681472989308,0.1276923394667836,26.3843812739726,26.940599
97,0.04931170859411682,15.240843169047942,15.355483480968568,0.06005446066314982,6.895269665194704,7.020228058004583,0.047329464545314545,23.93308437777778,23.942699
98,0.04307387032067797,15.263383094030559,15.352711423975894,0.08242409734605038,6.969639037040233,6.98282689121697,0.09610098224533249,23.879140280701755,24.117701
99,0.03408357580659853,15.208988215904304,15.254382588199629,0.05723250608826067,6.951473664869539,7.023321353930444,0.0491516968237635,23.92326282352941,24.0252
100,0.07301684680356697,15.108343353299553,15.213291791289247,0.09659492542134775,7.090453121905293,7.088555234717843,0.064174243478544,23.859271735849056,23.944599
101,0.09903661046664929,14.890552760176003,15.013811933115266,0.17973224681774524,7.253672106042279,7.4145748090110315,0.025715798823313266,23.787911764705886,23.8459
102,0.03828531143593889,13.836047519694402,14.02600647451731,0.07550137663385244,6.043638815544401,6.391856885617474,0.04130988514866105,21.582511653846154,21.9074
103,0.07172797375435269,12.501388365439919,13.001992744255078,0.10615711446129933,5.900363683498319,6.243472314330061,0.02906215150635192,19.50388193939394,20.339001
104,0.1101215954468504,12.37353586184985,13.009582342123245,0.21426675969305478,5.961105299950919,5.854178336439874,0.061332465362571364,19.579938982300884,20.3202
105,0.07431888522753732,13.379917234823118,13.467838226216506,0.060311461789883815,5.966162304721786,6.011805901913289,0.04750401288426883,20.85698261818182,20.8729
106,0.11871799171724016,13.783489203325889,13.788008240783963,0.20298057425619723,5.785003880286479,6.010867710518244,0.0825799283919505,21.241026425619836,21.353201
107,0.10231086175122596,12.101128586431402,12.431047054580056,0.1457831920323546,5.930206427145168,5.927599728261302,0.04852049026353348,19.30986833846154,19.7129
108,0.14029748064906988,12.2625139920923,12.300088001344026,0.1716611032245371,5.82010537710758,5.972385341931313,0.03696475959762249,19.40807173205742,19.647699
109,0.0711191885130591,12.936341772078043,12.954286410453967,0.10145561162315148,7.016143546163749,7.2150089543460885,0.04933650980910243,21.07154782608696,21.202801
110,0.13560353875720674,12.905088781363586,13.136789978593518,0.22180216675113176,5.871193897510859,6.127392263185458,0.10061034416641602,19.69373694520548,19.9219
113,0.16882341484902552,13.140811456390637,13.039724348280213,0.29791243049047,6.674725381554153,7.122224072940884,0.05278300220267257,21.00452707377049,21.212299
114,0.09809746688975919,13.578592527941375,13.714212754021057,0.17236211409421662,6.064331449781978,5.947634350108599,0.0480168831891924,20.9713045,21.0469
116,0.03400456808495581,11.981008012601073,12.179311709836849,0.04141458879171545,5.951617759674786,6.139249821452518,0.022745696669309028,18.931933166666667,19.171301
117,0.011987275415481786,13.724733199484163,13.784152688765351,0.008832609478337219,6.932686883766681,6.99291576452191,0.015120269565819992,22.122491916666664,22.259701
118,0.025845772002593966,13.688321440182165,13.706074039723656,0.026089082662503912,6.935836883953006,6.96291446511126,0.028494906747185935,22.05933139583333,22.09
119,0.07239697913680469,10.25429994246299,10.117547082635014,0.17131370775713503,5.461658854368452,5.618757412301259,0.07515326007526782,16.357418538461538,16.468599
120,0.08598648533076562,10.399935151788291,10.506078928759585,0.13247503049011147,5.354176011158341,5.595243588743697,0.04682436430402365,16.641267418604656,16.8291
121,0.04048597356765965,15.079383208874177,15.099784185923742,0.02568715322664813,7.468581554696023,7.591516263534196,0.031197624829797484,23.97573325,23.976299
